[INFO]: AT32F421 WK Demo Start
[INFO]: ADC_IIN_RANK_IDX 3089
[
[     484,    3560,    3089,     484]
[     485,    3558,    3089,     485]
[     486,    3572,    3089,     486]
[     487,    3564,    3089,     487]
[     488,    3534,    3089,     488]
[     489,    3516,    3089,     489]
[     490,    3584,    3089,     490]
[     491,    3558,    3089,     491]
[     492,    3572,    3089,     492]
[     493,    3560,    3089,     493]
[     494,    3575,    3089,     494]
[     495,    3576,    3089,     495]
[     496,    3572,    3089,     496]
[     497,    3561,    3089,     497]
[     498,    3561,    3089,     498]
[     499,    3578,    3089,     499]
[     500,    3582,    3089,     500]
[     501,    3575,    3089,     501]
[     502,    3579,    3089,     502]
[     503,    3583,    3089,     503]
[     504,    3585,    3089,     504]
[     505,    3582,    3089,     505]
[     506,    3587,    3089,     506]
[     507,    3595,    3089,     507]
[     508,    3584,    3089,     508]
[     509,    3578,    3089,     509]
[     510,    3583,    3089,     510]
[     511,    3592,    3089,     511]
[     512,    3592,    3089,     512]
[     513,    3595,    3089,     513]
[     514,    3591,    3089,     514]
[     515,    3596,    3089,     515]
[     516,    3589,    3089,     516]
[     517,    3593,    3089,     517]
[     518,    3590,    3089,     518]
[     519,    3601,    3089,     519]
[     520,    3601,    3089,     520]
[     521,    3602,    3089,     521]
[     522,    3602,    3089,     522]
[     523,    3612,    3089,     523]
[     524,    3607,    3089,     524]
[     525,    3604,    3089,     525]
[     526,    3605,    3089,     526]
[     527,    3621,    3089,     527]
[     528,    3597,    3089,     528]
[     529,    3599,    3089,     529]
[     530,    3607,    3089,     530]
[     531,    3608,    3089,     531]
[     532,    3598,    3089,     532]
[     533,    3604,    3089,     533]
[     534,    3611,    3089,     534]
[     535,    3610,    3089,     535]
[     536,    3621,    3089,     536]
[     537,    3611,    3089,     537]
[     538,    3604,    3089,     538]
[     539,    3607,    3089,     539]
[     540,    3603,    3089,     540]
[     541,    3586,    3089,     541]
[     542,    3646,    3089,     542]
[     543,    3529,    3089,     543]
[     544,    3631,    3089,     544]
[     545,    3586,    3089,     545]
[     546,    3601,    3089,     546]
[     547,    3632,    3089,     547]
[     548,    3625,    3089,     548]
[     549,    3629,    3089,     549]
[     550,    3626,    3089,     550]
[     551,    3635,    3089,     551]
[     552,    3630,    3089,     552]
[     553,    3618,    3089,     553]
[     554,    3632,    3089,     554]
[     555,    3641,    3089,     555]
[     556,    3630,    3089,     556]
[     557,    3630,    3089,     557]
[     558,    3628,    3089,     558]
[     559,    3634,    3089,     559]
[     560,    3626,    3089,     560]
[     561,    3639,    3089,     561]
[     562,    3627,    3089,     562]
[     563,    3634,    3089,     563]
[     564,    3636,    3089,     564]
[     565,    3644,    3089,     565]
[     566,    3647,    3089,     566]
[     567,    3634,    3089,     567]
[     568,    3642,    3089,     568]
[     569,    3645,    3089,     569]
[     570,    3642,    3089,     570]
[     571,    3644,    3089,     571]
[     572,    3643,    3089,     572]
[     573,    3645,    3089,     573]
[     574,    3644,    3089,     574]
[     575,    3638,    3089,     575]
[     576,    3651,    3089,     576]
[     577,    3653,    3089,     577]
[     578,    3651,    3089,     578]
[     579,    3656,    3089,     579]
[     580,    3656,    3089,     580]
[     581,    3650,    3089,     581]
[     582,    3654,    3089,     582]
[     583,    3652,    3089,     583]
[     584,    3653,    3089,     584]
[     585,    3656,    3089,     585]
[     586,    3653,    3089,     586]
[     587,    3655,    3089,     587]
[     588,    3655,    3089,     588]
[     589,    3654,    3089,     589]
[     590,    3660,    3089,     590]
[     591,    3663,    3089,     591]
[     592,    3653,    3089,     592]
[     593,    3657,    3089,     593]
[     594,    3664,    3089,     594]
[     595,    3676,    3089,     595]
[     596,    3665,    3089,     596]
[     597,    3656,    3089,     597]
[     598,    3657,    3089,     598]
[     599,    3648,    3089,     599]
[     600,    3654,    3089,     600]
[     601,    3660,    3089,     601]
[     602,    3666,    3089,     602]
[     603,    3663,    3089,     603]
[     604,    3666,    3089,     604]
[     605,    3655,    3089,     605]
[     606,    3663,    3089,     606]
[     607,    3671,    3089,     607]
[     608,    3674,    3089,     608]
[     609,    3664,    3089,     609]
[     610,    3666,    3089,     610]
[     611,    3663,    3089,     611]
[     612,    3660,    3089,     612]
[     613,    3662,    3089,     613]
[     614,    3669,    3089,     614]
[     615,    3681,    3089,     615]
[     616,    3681,    3089,     616]
[     617,    3670,    3089,     617]
[     618,    3664,    3089,     618]
[     619,    3671,    3089,     619]
[     620,    3670,    3089,     620]
[     621,    3668,    3089,     621]
[     622,    3666,    3089,     622]
[     623,    3673,    3089,     623]
[     624,    3675,    3089,     624]
[     625,    3675,    3089,     625]
[     626,    3670,    3089,     626]
[     627,    3668,    3089,     627]
[     628,    3668,    3089,     628]
[     629,    3672,    3089,     629]
[     630,    3667,    3089,     630]
[     631,    3672,    3089,     631]
[     632,    3670,    3089,     632]
[     633,    3666,    3089,     633]
[     634,    3664,    3089,     634]
[     635,    3666,    3089,     635]
[     636,    3667,    3089,     636]
